"analysisId","targetId","comparatorId"
2,6492,106524
2,6492,106525
2,6492,106526
2,6492,106527
2,6492,106528
2,6492,106529
2,6492,106706
2,6492,6493
2,6492,6494
2,6492,6495
2,6492,6499
2,6492,6500
2,6492,6502
2,6492,6503
2,6492,6504
2,6492,6505
2,6492,6507
2,6492,6508
2,6492,6509
2,6492,6510
2,6492,6511
2,6492,6512
2,6492,6513
2,6492,6515
2,6492,6516
2,6492,6520
2,6492,6521
2,6492,6523
2,6492,6524
2,6492,6525
2,6492,6526
2,6492,6527
2,6492,6528
2,6492,6529
2,6492,6706
3,1006492,1106493
3,1006492,1106494
3,1006492,1106495
3,1006492,1106500
3,1006492,1106521
3,1006492,1106706
3,2006492,2106493
3,2006492,2106494
3,2006492,2106495
3,2006492,2106500
3,2006492,2106521
3,2006492,2106706
3,6492,106493
3,6492,106494
3,6492,106495
3,6492,106499
3,6492,106500
3,6492,106502
3,6492,106503
3,6492,106504
3,6492,106505
3,6492,106507
3,6492,106508
3,6492,106509
3,6492,106510
3,6492,106511
3,6492,106512
3,6492,106513
3,6492,106515
3,6492,106516
3,6492,106520
3,6492,106521
3,6492,106523
3,6492,106524
3,6492,106525
3,6492,106526
3,6492,106527
3,6492,106528
3,6492,106529
3,6492,106706
3,6492,6493
3,6492,6494
3,6492,6495
3,6492,6499
3,6492,6500
3,6492,6502
3,6492,6503
3,6492,6504
3,6492,6505
3,6492,6507
3,6492,6508
3,6492,6509
3,6492,6510
3,6492,6511
3,6492,6512
3,6492,6513
3,6492,6515
3,6492,6516
3,6492,6520
3,6492,6521
3,6492,6523
3,6492,6524
3,6492,6525
3,6492,6526
3,6492,6527
3,6492,6528
3,6492,6529
3,6492,6706
4,1006492,1106493
4,1006492,1106494
4,1006492,1106495
4,1006492,1106500
4,1006492,1106521
4,1006492,1106706
4,2006492,2106493
4,2006492,2106494
4,2006492,2106495
4,2006492,2106500
4,2006492,2106521
4,2006492,2106706
4,6492,106493
4,6492,106494
4,6492,106495
4,6492,106499
4,6492,106500
4,6492,106502
4,6492,106503
4,6492,106504
4,6492,106505
4,6492,106507
4,6492,106508
4,6492,106509
4,6492,106510
4,6492,106511
4,6492,106512
4,6492,106513
4,6492,106515
4,6492,106516
4,6492,106520
4,6492,106521
4,6492,106523
4,6492,106524
4,6492,106525
4,6492,106526
4,6492,106527
4,6492,106528
4,6492,106529
4,6492,106706
4,6492,6493
4,6492,6494
4,6492,6495
4,6492,6499
4,6492,6500
4,6492,6502
4,6492,6503
4,6492,6504
4,6492,6505
4,6492,6507
4,6492,6508
4,6492,6509
4,6492,6510
4,6492,6511
4,6492,6512
4,6492,6513
4,6492,6515
4,6492,6516
4,6492,6520
4,6492,6521
4,6492,6523
4,6492,6524
4,6492,6525
4,6492,6526
4,6492,6527
4,6492,6528
4,6492,6529
4,6492,6706
5,1006492,1106493
5,1006492,1106494
5,1006492,1106495
5,1006492,1106500
5,1006492,1106521
5,1006492,1106706
5,2006492,2106493
5,2006492,2106494
5,2006492,2106495
5,2006492,2106500
5,2006492,2106521
5,2006492,2106706
5,6492,106493
5,6492,106494
5,6492,106495
5,6492,106499
5,6492,106500
5,6492,106502
5,6492,106503
5,6492,106504
5,6492,106505
5,6492,106507
5,6492,106508
5,6492,106509
5,6492,106510
5,6492,106511
5,6492,106512
5,6492,106513
5,6492,106515
5,6492,106516
5,6492,106520
5,6492,106521
5,6492,106523
5,6492,106524
5,6492,106525
5,6492,106526
5,6492,106527
5,6492,106528
5,6492,106529
5,6492,106706
5,6492,6493
5,6492,6494
5,6492,6495
5,6492,6499
5,6492,6500
5,6492,6502
